
16	241	385	410	419	420	996	997	1573	1769	1818	1834	

1883	2244	2440	2840	2921	3450	3675	3844	4069	4073	4089	4618	

4814	4983	5208	5329	5354	5418	5454	5650	6179	6579	6723	6772	

7301	7701	7717	7973	8297	8658	9058	9382	9911	9936	9972	10021	

10217	10233	10489	10610	10835	11235	11299	11303	11664	11664	12193	12193	

12449	12498	12547	12596	12645	12694	12743	12792	12841	12890	12939	12988	

13037	13086	13135	13184	13233	13282	13331	13380	13429	13478	13527	13576	

13625	13674	13723	13772	13821	13870	13919	13968	14017	14066	14115	14164	

14213	14262	14311	14360	14409	14458	14507	14556	14605	14654	14703	14752	
